partai;kode_Partai
Independent Voice of the Acehnese Party;Q116507137
Serindo;Q135225648
Angkatan Kemenangan Umat Islam;Q6082666
Barisan Tani Indonesia;Q4240476
Daftar pemimpin partai politik di Indonesia;Q107039750
Fraksi Demokrat (orde lama);Q135005398
Fraksi Pembangunan;Q5266692
Front Demokrasi Rakyat;Q4313262
Gerakan Aceh Merdeka;Q852258
Gerakan Rakyat Indonesia;Q110413286
Gerakan Riau Merdeka;Q125288249
Ikatan Pendukung Kemerdekaan Indonesia;Q12503305
Majelis Syuro Muslimin Indonesia;Q2579297
Masyumi Reborn;Q109606755
Murba;Q4260843
Nahdlatul Ulama;Q686441
National Indische Partij;Q6025143
PKI Merah;Q5154404
Partai Abul Yatama;Q3014337
Partai Aceh;Q4262048
Partai Aceh Aman Seujahtra;Q4261063
Partai Acoma;Q4059714
Partai Adil Sejahtera Aceh;Q123553439
Partai Aliansi Demokrat Indonesia;Q12503298
Partai Amanat Nasional;Q2434365
Partai Atjeh Hijau;Q96372740
Partai Barisan Nasional;Q4261758
Partai Berkarya;Q31173603
Partai Bersatu Aceh;Q4673073
Partai Bhinneka Tunggal Ika Indonesia;Q17999437
Partai Bintang Reformasi;Q4261778
Partai Bulan Bintang;Q2915024
Partai Buruh;Q4203001
Partai Buruh;Q6467180
Partai Buruh;Q108940356
Partai Buruh (Indonesia, 1998);Q116299110
Partai Buruh Indonesia;Q4203019
Partai Cinta Damai;Q12503301
Partai Daerah Aceh;Q4920529
Partai Dakwah Rakyat Indonesia;Q109606710
Partai Damai Sejahtera;Q7250923
Partai Daulat Rakyat;Q12503302
Partai Demokrasi Indonesia;Q2084109
Partai Demokrasi Indonesia Perjuangan;Q1186306
Partai Demokrasi Kasih Bangsa;Q12503303
Partai Demokrasi Kebangsaan;Q4261748
Partai Demokrasi Pembaruan;Q387768
Partai Demokrat (Indonesia);Q1186227
Partai Demokrat Tionghoa Indonesia;Q63986532
Partai Garda Republik Indonesia;Q123553440
Partai Gelombang Rakyat Indonesia;Q97016042
Partai Generasi Atjeh Beusaboh Tha'at Dan Taqwa;Q56393536
Partai Gerakan Indonesia Raya;Q4261459
Partai Gerakan Mandiri Bangsa;Q137803778
Partai Gerakan Perubahan Indonesia;Q49707489
Partai Golongan Karya;Q1536552
Partai Hati Nurani Rakyat;Q4262041
Partai Hijau Indonesia;Q12503304
Partai Idaman;Q22344823
Partai Indonesia;Q19730387
Partai Indonesia Baru;Q12503306
Partai Indonesia Raya;Q12503307
Partai Indonesia Sejahtera;Q4261364
Partai Islam Demokrat;Q12503309
Partai Karya Peduli Bangsa;Q5158454
Partai Karya Perjuangan;Q4261329
Partai Kasih;Q127369564
Partai Kasih Demokrasi Indonesia;Q6026067
Partai Katolik;Q5053222
Partai Katolik Demokrat;Q19730388
Partai Keadilan Sejahtera;Q1511101
Partai Keadilan dan Persatuan Indonesia;Q13405290
Partai Kebangkitan Bangsa;Q1257317
Partai Kebangkitan Dharma Indonesia;Q6026070
Partai Kebangkitan Muslim Indonesia;Q19730389
Partai Kebangkitan Nasional Ulama;Q4262251
Partai Kebangkitan Nusantara;Q115754699
Partai Kebangkitan Ummat;Q19752369
Partai Kebangsaan Merdeka;Q19727405
Partai Kedaulatan;Q4261751
Partai Kedaulatan Bangsa Indonesia Baru;Q13095791
Partai Kedaulatan Rakyat;Q131362324
Partai Kedaulatan Rakyat;Q116859755
Partai Kemerdekaan Indonesia Irian;Q66048989
Partai Komunis Indonesia;Q157744
Partai Kristen Demokrat;Q5109516
Partai Kristen Indonesia;Q4200847
Partai Kristen Indonesia 1945;Q64800069
Partai Kristen Nasional Indonesia;Q19730390
Partai Mahasiswa Indonesia;Q111721268
Partai Masyumi Baru;Q19728989
Partai Matahari Bangsa;Q4261542
Partai Merdeka;Q1136182
Partai Muslimin Indonesia;Q60679977
Partai Musyawarah Kekeluargaan Gotong Royong;Q12503312
Partai Nanggroe Aceh;Q19730391
Partai NasDem;Q4207219
Partai Nasional Bangsa Indonesia;Q19729635
Partai Nasional Benteng Kerakyatan Indonesia;Q4261024
Partai Nasional Demokrat;Q19729636
Partai Nasional Indonesia;Q1965221
Partai Nasional Indonesia - Front Marhaenis;Q19729637
Partai Nasional Indonesia - Massa Marhaen;Q12503313
Partai Nasional Indonesia Marhaenisme;Q4261536
Partai Patriot;Q4261517
Partai Peduli Rakyat Nasional;Q6974869
Partai Pekerja Indonesia;Q19730546
Partai Pelopor;Q7196857
Partai Pemuda Indonesia;Q4261361
Partai Penegak Demokrasi Indonesia;Q4261342
Partai Pengusaha dan Pekerja Indonesia;Q4261524
Partai Persatuan;Q19730781
Partai Persatuan Daerah;Q7309185
Partai Persatuan Dayak;Q4208530
Partai Persatuan Indonesia;Q19752495
Partai Persatuan Nahdlatul Ummah Indonesia;Q4261054
Partai Persatuan Pembangunan;Q2669302
Partai Persatuan Pembebasan Nasional;Q6974119
Partai Persatuan Tharikah Islam;Q2054226
Partai Perubahan (Indonesia);Q131995022
Partai Pilihan Rakyat;Q12503317
Partai Politik Islam Indonesia Masyumi;Q12503316
Partai Rakjat Sosialis;Q4204259
Partai Rakyat Aceh;Q4673070
Partai Rakyat Adil Makmur;Q107069517
Partai Rakyat Demokratik;Q3366441
Partai Rakyat Indonesia;Q12503318
Partai Rakyat Indonesia Merdeka;Q4204294
Partai Rakyat Nasional;Q4314852
Partai Republik;Q19752635
Partai Republika Nusantara;Q4261736
Partai SIRA;Q116311936
Partai Sarekat Islam Indonesia (PSII);Q4200848
Partai Sarikat Indonesia;Q4261029
Partai Serikat Rakyat Independen;Q12503319
Partai Solidaritas Indonesia;Q23744654
Partai Solidaritas Pekerja;Q12503320
Partai Solidaritas Pekerja Seluruh Indonesia;Q12503321
Partai Solidaritas Uni Nasional Indonesia;Q12503323
Partai Sosialis (Indonesia);Q4430206
Partai Sosialis Indonesia;Q204699
Partai Sosialis Indonesia (Parsi);Q4430208
Partai Suara Independen Rakyat Aceh;Q4261356
Partai Syarikat Islam Indonesia 1905;Q19742811
Partai Tani Indonesia;Q4204282
Partai Tionghoa Indonesia;Q12503325
Partai Ummat;Q106255756
Partai Ummat Islam;Q19752372
Partai Ummat Muslimin Indonesia;Q12503326
Partai Uni Demokrasi Indonesia;Q19744738
Persatuan Indonesia Raya;Q25466814
Persatuan Muslim Indonesia;Q19730777
Persatuan Rakjat Desa;Q4204285
Persatuan Rakyat Marhaen Indonesia;Q4200849
Persatuan Tarbiyah Islamiyah;Q12505151
Relawan Perjuangan Demokrasi;Q19731494
